effective_query,link_type,status,num_results_for_query,visible_link,num_results,query,requested_at,rank,link,no_results,domain,snippet,scrape_method,search_engine_name,requested_by,page_number,title
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/What-are-the-biggest-companies-in-the-w...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,1,https://www.quora.com/What-are-the-biggest-companies-in-the-world,False,www.quora.com,"Biggest company by market capitalization is Apple, biggest by revenue is Walmart closely followed by Exxon and Royal Dutch Shell, and the biggest by assets is ...",selenium,google,localhost,1,What are the biggest companies in the world? - Quora
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/What-are-the-top-ten-largest-privately-o...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,2,https://www.quora.com/What-are-the-top-ten-largest-privately-owned-companies-in-the-world,False,www.quora.com,"As of 2016, the largest ten privately owned companies are the following (the revenue is based on 2015 data):. 10 - Mars Revenue: $33 billion. Founded by Frank C.",selenium,google,localhost,1,What are the top ten largest privately owned companies in the world ...
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/What-are-the-ten-largest-companies-in-th...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,3,https://www.quora.com/What-are-the-ten-largest-companies-in-the-world-according-to-market-capitalization,False,www.quora.com,"According to Marketgeek(http://marketgeek.net/all/), a market capitalization ranking site, Exxon Mobil Corporation is the largest company in the world in terms of ...",selenium,google,localhost,1,What are the ten largest companies in the world according to market ...
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/What-are-the-biggest-Silicon-Valley-com...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,4,https://www.quora.com/What-are-the-biggest-Silicon-Valley-companies,False,www.quora.com,"Silicon Valley is a nickname for the southern portion of the San Francisco Bay Area, which is ... It is home to many of the world's largest high-tech corporations, as well as thousands of startup companies. Several companies which have ...",selenium,google,localhost,1,What are the biggest Silicon Valley companies? - Quora
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/What-is-the-biggest-Training-company-in...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,5,https://www.quora.com/What-is-the-biggest-Training-company-in-the-world,False,www.quora.com,Is a linkedin profile with the short URL of one of the biggest fortune 500 companies in the world worth anything? Is it legal to sell? What are some of the biggest ...,selenium,google,localhost,1,What is the biggest Training company in the world? - Quora
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/What-are-the-largest-companies-of-all-time,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,6,https://www.quora.com/What-are-the-largest-companies-of-all-time,False,www.quora.com,"Likely the Dutch East India company in the 1600s, if you adjust for inflation. Market ... What are the top ten largest privately owned companies in the world?",selenium,google,localhost,1,What are the largest companies of all time? - Quora
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/What-are-the-biggest-branding-company-...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,7,https://www.quora.com/What-are-the-biggest-branding-company-in-the-world,False,www.quora.com,"Acording to Interbrand the the top 10 global brands in 2015 were: Rank Brand Brand Value 01 Apple $170,276M 02 Google $120,314M 03 Coca-Cola $78,423 M",selenium,google,localhost,1,What are the biggest branding company in the world? - Quora
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/Which-are-the-worlds-5-largest-companies,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,8,https://www.quora.com/Which-are-the-worlds-5-largest-companies,False,www.quora.com,"As of the last quarter of 2015, here are the world's 5 largest corporations considering the market ... What are the largest tech companies in the world outside the USA? What are the top ten largest privately owned companies in the world?",selenium,google,localhost,1,Which are the world's 5 largest companies? - Quora
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/What-are-the-biggest-non-public-compan...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,9,https://www.quora.com/What-are-the-biggest-non-public-companies-in-the-world,False,www.quora.com,2016. 9. 14. - Rum manufacturer bacardi is one of the few companies which is one of the few companies that are privately owned.,selenium,google,localhost,1,What are the biggest non-public companies in the world? - Quora
,results,successful,"검색결과 약 167,000개 (0.26초) ",https://www.quora.com/Which-is-the-largest-construction-compan...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:27.257792,10,https://www.quora.com/Which-is-the-largest-construction-company-in-world,False,www.quora.com,The largest construction company in the world (in terms of revenue) is ACS Group (Actividades ... What's yourdefinition of largest? Because there are different ...,selenium,google,localhost,1,Which is the largest construction company in world? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-are-the-largest-b2b-companies-in-t...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,1,https://www.quora.com/What-are-the-largest-b2b-companies-in-the-world,False,www.quora.com,"Looking for a list that includes multiple industries, with the key criteria being ... Looking at Fortune 500's 2012 List you have the following companies pareto stacked ...",selenium,google,localhost,2,What are the largest b2b companies in the world? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-is-the-largest-company-owned-enti...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,2,https://www.quora.com/What-is-the-largest-company-owned-entirely-by-one-person,False,www.quora.com,The largest company owned by one person in the world is Dyson. Sir James Dyson owns 100% ...,selenium,google,localhost,2,What is the largest company owned entirely by one person? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-is-the-biggest-video-analytics-comp...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,3,https://www.quora.com/What-is-the-biggest-video-analytics-company-in-the-world,False,www.quora.com,"Today's video surveillance systems are not being observed by individuals; rather, they are being monitored by next-level software. CronJ's solution is exclusively ...",selenium,google,localhost,2,What is the biggest video analytics company in the world? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-are-the-biggest-private-companies-i...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,4,https://www.quora.com/What-are-the-biggest-private-companies-in-the-world,False,www.quora.com,"2011. 1. 26. - In terms of revenue, employees etc ... Below is some of the companies I've familiarized with myself over the years. I took the liberty of adding ...",selenium,google,localhost,2,What are the biggest private companies in the world? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-is-the-largest-serverless-company-in...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,5,https://www.quora.com/What-is-the-largest-serverless-company-in-the-world,False,www.quora.com,"Civil Services. With some notable exceptions, I speculate ( I cannot prove the absence of something) that most country civil services operate without the sort of ...",selenium,google,localhost,2,What is the largest serverless company in the world? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-are-the-biggest-civil-engineering-co...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,6,https://www.quora.com/What-are-the-biggest-civil-engineering-companies-in-the-world,False,www.quora.com,Read more at List of Civil Engineering Companies in the world. This list compiles the top civil engineering companies in the world. This list of major civil engineering ...,selenium,google,localhost,2,What are the biggest civil engineering companies in the world? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-are-the-world’s-largest-spice-compa...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,7,https://www.quora.com/What-are-the-world%E2%80%99s-largest-spice-companies,False,www.quora.com,McCormick & Co. is the largest spice maker in the world which manufactures products under the brands: McCormick; Zatarain's; Lawry's; Old Bay Seasoning; Mojave ...,selenium,google,localhost,2,What are the world's largest spice companies? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-are-the-largest-localization-compani...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,8,https://www.quora.com/What-are-the-largest-localization-companies-in-the-world,False,www.quora.com,This is one of the largest localization companies in the world (Hi! All Languages Translations): Localization Rates / Get a Free Quote.,selenium,google,localhost,2,What are the largest localization companies in the world? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-do-you-think-of-the-worlds-largest-...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,9,https://www.quora.com/What-do-you-think-of-the-worlds-largest-companies-this-year,False,www.quora.com,It's Google ... The World's Largest Companies: Is This China's Century? UpdateCancel ... What are the top ten largest privately owned companies in the world?,selenium,google,localhost,2,What do you think of the world's largest companies this year? - Quora
,results,successful,"검색결과 약 167,000개 중 2페이지 (0.28초) ",https://www.quora.com/What-is-the-largest-tech-company-in-the-...,10,What are the biggest companies in the world? site:www.quora.com,2017-06-08 07:15:29.686106,10,https://www.quora.com/What-is-the-largest-tech-company-in-the-world,False,www.quora.com,"An article published in Forbes where we can get the list of top tech companies in world. “Fourteen of the 25 largest tech companies in the world hail from the U.S., ...",selenium,google,localhost,2,What is the largest tech company in the world? - Quora
